HT,AT,WINNER,HS,AS,Q1H,Q1A,Q2H,Q2A,Q3H,Q3A,Q4H,Q4A
Barcelona,Panathinaikos,Barcelona,98,86,28,23,27,24,16,18,27,21
Lyon-Villeurbanne,Olimpia Milano,Lyon-Villeurbanne,89,82,20,24,18,21,32,16,19,21
Bayern,Zenit Petersburg,Bayern,77,69,14,15,23,20,24,15,16,19
Zalgiris Kaunas,Valencia,Valencia,82,86,21,19,27,28,9,17,25,22
Real Madrid,Olympiacos,Real Madrid,93,77,21,10,20,20,31,18,21,29
Maccabi Tel Aviv,CSKA Moscow,Maccabi Tel Aviv,90,80,20,29,25,23,21,12,24,16
Crvena zvezda mts,Baskonia,Baskonia,64,72,14,20,17,12,12,24,21,16
Fenerbahce,Anadolu Efes,Anadolu Efes,73,81,22,20,16,18,11,21,24,22
Khimki M.,Alba Berlin,Khimki M.,104,87,23,32,31,19,23,12,27,24
Baskonia,Anadolu Efes,Anadolu Efes,77,102,16,26,19,29,18,21,24,26
Panathinaikos,Olympiacos,Panathinaikos,99,93,18,17,28,22,17,22,23,25
Fenerbahce,Alba Berlin,Fenerbahce,107,102,30,16,11,24,24,22,23,26
Khimki M.,Barcelona,Barcelona,94,102,22,31,26,30,22,23,24,18
Zenit Petersburg,Lyon-Villeurbanne,Zenit Petersburg,75,70,17,15,13,21,23,13,22,21
Real Madrid,Valencia,Real Madrid,111,99,30,29,23,20,27,21,31,29
Olimpia Milano,Crvena zvezda mts,Crvena zvezda mts,67,77,18,20,22,19,10,18,17,20
Maccabi Tel Aviv,Bayern,Maccabi Tel Aviv,77,55,22,18,19,8,12,21,24,8
CSKA Moscow,Zalgiris Kaunas,CSKA Moscow,85,82,9,17,23,14,19,19,18,19
Barcelona,CSKA Moscow,CSKA Moscow,67,96,20,18,18,33,12,25,17,20
Olympiacos,Olimpia Milano,Olympiacos,91,70,15,19,25,18,31,16,20,17
Anadolu Efes,Bayern,Anadolu Efes,104,75,30,22,27,18,19,18,28,17
Zenit Petersburg,Real Madrid,Real Madrid,71,86,19,22,18,22,19,22,15,20
Maccabi Tel Aviv,Lyon-Villeurbanne,Maccabi Tel Aviv,93,62,20,17,23,17,24,13,26,15
Alba Berlin,Zalgiris Kaunas,Alba Berlin,69,62,15,7,17,19,15,20,22,16
Panathinaikos,Baskonia,Panathinaikos,100,68,20,17,26,19,26,15,28,17
Crvena zvezda mts,Valencia,Crvena zvezda mts,76,73,17,19,20,22,23,10,16,22
Fenerbahce,Khimki M.,Fenerbahce,89,76,28,24,16,25,21,6,24,21
Barcelona,Maccabi Tel Aviv,Barcelona,96,73,21,18,22,28,31,20,22,7
Baskonia,Zenit Petersburg,Baskonia,70,60,15,18,19,10,18,16,18,16
Real Madrid,CSKA Moscow,Real Madrid,97,81,23,19,29,29,23,16,22,17
Lyon-Villeurbanne,Fenerbahce,Fenerbahce,72,88,16,19,20,29,16,19,20,21
Bayern,Panathinaikos,Panathinaikos,75,87,24,16,11,20,18,29,22,22
Valencia,Khimki M.,Valencia,89,84,26,33,25,15,21,22,17,14
Olimpia Milano,Anadolu Efes,Anadolu Efes,76,81,17,16,22,25,21,21,16,19
Alba Berlin,Olympiacos,Olympiacos,80,99,17,30,21,25,19,21,23,23
Zalgiris Kaunas,Crvena zvezda mts,Crvena zvezda mts,59,61,21,16,10,17,15,14,13,14
Barcelona,Fenerbahce,Barcelona,89,63,25,15,19,15,23,10,22,23
Baskonia,CSKA Moscow,Baskonia,80,70,24,19,21,23,17,17,18,11
Real Madrid,Khimki M.,Real Madrid,104,76,31,25,34,17,27,14,12,20
Valencia,Zenit Petersburg,Valencia,94,90,15,16,18,22,24,25,37,27
Lyon-Villeurbanne,Anadolu Efes,Anadolu Efes,84,90,22,25,23,21,21,24,18,20
Olimpia Milano,Maccabi Tel Aviv,Olimpia Milano,92,88,21,21,26,21,24,22,21,24
Bayern,Olympiacos,Bayern,85,82,23,17,20,27,12,19,30,19
Alba Berlin,Crvena zvezda mts,Alba Berlin,93,80,21,15,25,19,21,20,26,26
Zalgiris Kaunas,Panathinaikos,Panathinaikos,85,86,16,19,17,22,20,23,32,22
Valencia,Bayern,Valencia,82,56,20,16,19,13,20,18,23,9
Olympiacos,Zalgiris Kaunas,Olympiacos,83,74,19,18,18,21,23,16,23,19
Crvena zvezda mts,Lyon-Villeurbanne,Lyon-Villeurbanne,72,74,16,14,20,18,18,15,11,18
CSKA Moscow,Fenerbahce,CSKA Moscow,88,70,21,17,18,17,25,15,24,21
Baskonia,Maccabi Tel Aviv,Maccabi Tel Aviv,83,113,21,28,11,27,26,31,25,27
Real Madrid,Barcelona,Real Madrid,86,76,32,14,16,36,23,14,15,12
Panathinaikos,Alba Berlin,Alba Berlin,105,106,31,31,18,27,20,16,19,14
Anadolu Efes,Zenit Petersburg,Anadolu Efes,90,88,21,14,21,16,27,20,21,38
Khimki M.,Olimpia Milano,Khimki M.,87,79,22,25,25,26,18,14,22,14
Lyon-Villeurbanne,CSKA Moscow,Lyon-Villeurbanne,67,66,12,17,21,13,17,22,17,14
Panathinaikos,Valencia,Panathinaikos,91,80,26,18,19,17,23,29,23,16
Zalgiris Kaunas,Barcelona,Barcelona,86,93,20,23,20,24,21,19,25,27
Fenerbahce,Bayern,Fenerbahce,90,82,18,15,22,24,21,23,29,20
Olimpia Milano,Baskonia,Olimpia Milano,81,74,14,19,26,15,16,19,25,21
Maccabi Tel Aviv,Alba Berlin,Maccabi Tel Aviv,104,78,21,19,31,18,31,18,21,23
Olympiacos,Anadolu Efes,Anadolu Efes,67,86,24,21,11,32,23,14,9,19
Crvena zvezda mts,Real Madrid,Real Madrid,60,75,9,12,18,21,25,16,8,26
Zenit Petersburg,Khimki M.,Khimki M.,73,87,28,28,15,24,17,16,13,19
Baskonia,Bayern,Baskonia,93,60,29,10,23,19,14,18,27,13
Real Madrid,Alba Berlin,Real Madrid,85,71,28,14,14,24,22,18,21,15
Olympiacos,Maccabi Tel Aviv,Maccabi Tel Aviv,65,90,21,24,19,21,16,23,9,22
Olimpia Milano,Barcelona,Olimpia Milano,83,70,15,20,15,17,22,21,31,12
Valencia,Lyon-Villeurbanne,Valencia,81,72,16,18,19,18,21,16,25,20
Fenerbahce,Zalgiris Kaunas,Zalgiris Kaunas,76,79,17,17,23,16,19,19,17,27
Zenit Petersburg,CSKA Moscow,CSKA Moscow,70,87,15,26,22,22,22,13,11,26
Panathinaikos,Anadolu Efes,Panathinaikos,86,70,24,19,18,19,21,16,23,16
Crvena zvezda mts,Khimki M.,Crvena zvezda mts,90,78,28,22,22,19,30,15,10,22
Barcelona,Valencia,Barcelona,83,77,21,19,23,22,18,24,21,12
Bayern,Real Madrid,Bayern,95,86,22,20,19,18,26,19,28,29
Maccabi Tel Aviv,Fenerbahce,Maccabi Tel Aviv,67,55,12,6,29,15,11,20,15,14
Zalgiris Kaunas,Zenit Petersburg,Zenit Petersburg,70,82,18,14,10,14,15,16,19,18
CSKA Moscow,Olympiacos,Olympiacos,79,84,24,18,15,25,21,21,19,20
Lyon-Villeurbanne,Baskonia,Lyon-Villeurbanne,66,63,16,23,14,13,18,13,18,14
Alba Berlin,Olimpia Milano,Olimpia Milano,78,81,18,17,15,9,17,27,28,28
Anadolu Efes,Crvena zvezda mts,Anadolu Efes,85,70,21,9,17,17,18,25,29,19
Khimki M.,Panathinaikos,Khimki M.,103,86,25,29,25,26,27,18,26,13
Baskonia,Olympiacos,Baskonia,82,66,23,21,18,15,17,13,24,17
Olimpia Milano,Fenerbahce,Olimpia Milano,87,74,20,11,21,18,25,26,21,19
Alba Berlin,CSKA Moscow,CSKA Moscow,66,82,15,17,19,22,8,22,24,21
Zalgiris Kaunas,Lyon-Villeurbanne,Zalgiris Kaunas,70,56,14,20,19,8,22,17,15,11
Crvena zvezda mts,Barcelona,Barcelona,65,73,16,12,20,21,13,24,16,16
Bayern,Khimki M.,Khimki M.,74,87,19,17,18,27,18,26,19,17
Maccabi Tel Aviv,Valencia,Maccabi Tel Aviv,76,63,18,11,15,17,23,16,20,19
Anadolu Efes,Real Madrid,Anadolu Efes,76,60,15,11,14,20,27,19,20,10
Zenit Petersburg,Panathinaikos,Panathinaikos,79,89,20,22,18,18,22,25,19,24
Barcelona,Alba Berlin,Barcelona,103,84,19,25,27,19,26,17,31,23
Valencia,Anadolu Efes,Anadolu Efes,78,83,27,23,19,16,17,30,15,14
Olympiacos,Zenit Petersburg,Zenit Petersburg,68,77,19,20,17,18,11,15,17,11
Bayern,Lyon-Villeurbanne,Bayern,104,63,30,13,27,22,26,16,21,12
Panathinaikos,Olimpia Milano,Olimpia Milano,78,79,20,24,18,14,19,23,21,18
Maccabi Tel Aviv,Crvena zvezda mts,Maccabi Tel Aviv,84,69,24,13,15,17,16,17,12,20
Fenerbahce,Baskonia,Fenerbahce,87,80,22,22,17,14,24,22,24,22
CSKA Moscow,Khimki M.,CSKA Moscow,99,86,29,20,25,24,22,16,23,26
Zalgiris Kaunas,Real Madrid,Zalgiris Kaunas,86,73,18,15,20,19,19,26,29,13
Olimpia Milano,Zalgiris Kaunas,Olimpia Milano,85,81,23,7,20,29,21,23,21,22
Olympiacos,Valencia,Olympiacos,89,63,31,22,23,8,18,14,17,19
Anadolu Efes,Alba Berlin,Anadolu Efes,106,105,27,25,16,15,26,32,26,23
Khimki M.,Baskonia,Khimki M.,79,76,27,17,16,22,19,16,17,21
Zenit Petersburg,Barcelona,Barcelona,63,87,20,19,20,24,16,16,7,28
Real Madrid,Maccabi Tel Aviv,Real Madrid,86,85,22,22,28,22,15,21,21,20
Lyon-Villeurbanne,Panathinaikos,Lyon-Villeurbanne,79,78,22,22,18,24,10,17,29,15
Crvena zvezda mts,Fenerbahce,Crvena zvezda mts,68,56,15,16,20,14,16,13,17,13
CSKA Moscow,Bayern,CSKA Moscow,79,68,22,18,25,22,13,10,19,18
Valencia,CSKA Moscow,CSKA Moscow,71,96,17,24,21,26,16,26,17,20
Lyon-Villeurbanne,Olympiacos,Lyon-Villeurbanne,82,63,21,24,19,9,16,14,26,16
Alba Berlin,Zenit Petersburg,Alba Berlin,85,65,24,18,23,13,20,19,18,15
Anadolu Efes,Barcelona,Barcelona,64,74,14,19,12,18,20,12,18,25
Zalgiris Kaunas,Baskonia,Baskonia,58,70,19,19,11,18,16,18,12,15
Real Madrid,Fenerbahce,Real Madrid,81,77,30,21,13,21,21,13,17,22
Bayern,Olimpia Milano,Bayern,78,64,22,23,20,11,19,16,17,14
Panathinaikos,Crvena zvezda mts,Panathinaikos,87,82,14,17,23,18,29,18,21,29
Khimki M.,Maccabi Tel Aviv,Khimki M.,89,83,24,21,24,19,27,21,14,22
Anadolu Efes SK,CSKA Moscow,CSKA Moscow,83,91,20,29,22,15,20,24,21,23
Fenerbahce Ulker,Real Madrid,Real Madrid,75,94,16,24,24,14,23,31,12,25
CSKA Moscow,Real Madrid,CSKA Moscow,95,90,18,22,25,23,22,28,30,17
Fenerbahce Ulker,Anadolu Efes SK,Anadolu Efes SK,73,92,20,19,20,26,17,23,16,24
Anadolu Efes SK,Barcelona,Anadolu Efes SK,80,71,23,28,24,14,14,15,19,14
Barcelona,Anadolu Efes SK,Barcelona,82,72,15,22,21,16,27,12,19,22
Baskonia,CSKA Moscow,CSKA Moscow,83,92,22,20,26,19,23,29,12,24
Zalgiris Kaunas,Fenerbahce Ulker,Fenerbahce Ulker,82,99,16,30,25,19,20,23,21,27
