teamAbbr,teamPTS,opptAbbr,opptPTS,teamRslt,teamLoc,teamPTS1,teamPTS2,teamPTS3,teamPTS4,teamPTS5,teamPTS6,teamPTS7,teamPTS8,opptPTS1,opptPTS2,opptPTS3,opptPTS4,opptPTS5,opptPTS6,opptPTS7,opptPTS8
CLE,102,BOS,99,Win,Home,29,25,18,30,0,0,0,0,19,19,33,28,0,0,0,0
GS,121,HOU,122,Loss,Home,35,36,30,20,0,0,0,0,34,28,26,34,0,0,0,0
DET,102,CHA,90,Win,Home,29,27,26,20,0,0,0,0,27,18,25,20,0,0,0,0
IND,140,BKN,131,Win,Home,29,36,41,34,0,0,0,0,30,33,35,33,0,0,0,0
ORL,116,MIA,109,Win,Home,32,26,30,28,0,0,0,0,37,18,23,31,0,0,0,0
WAS,120,PHI,115,Win,Home,32,24,34,30,0,0,0,0,23,36,23,33,0,0,0,0
BOS,100,MIL,108,Loss,Home,26,27,27,20,0,0,0,0,24,34,18,32,0,0,0,0
MEM,103,NO,91,Win,Home,27,27,25,24,0,0,0,0,34,18,18,21,0,0,0,0
DAL,111,ATL,117,Loss,Home,24,23,35,29,0,0,0,0,27,31,24,35,0,0,0,0
UTA,106,DEN,96,Win,Home,21,28,29,28,0,0,0,0,30,28,25,13,0,0,0,0
SA,107,MIN,99,Win,Home,32,21,34,20,0,0,0,0,25,24,28,22,0,0,0,0
PHO,76,POR,124,Loss,Home,21,14,20,21,0,0,0,0,29,31,38,26,0,0,0,0
SAC,100,HOU,105,Loss,Home,25,23,24,28,0,0,0,0,26,26,23,30,0,0,0,0
TOR,117,CHI,101,Win,Home,25,33,26,33,0,0,0,0,23,14,27,37,0,0,0,0
OKC,105,NY,84,Win,Home,27,26,26,26,0,0,0,0,24,18,17,25,0,0,0,0
LAL,92,LAC,108,Loss,Home,19,23,21,29,0,0,0,0,27,26,34,21,0,0,0,0
CHA,109,ATL,91,Win,Home,18,31,35,25,0,0,0,0,28,28,17,18,0,0,0,0
IND,96,POR,114,Loss,Home,25,27,21,23,0,0,0,0,31,31,29,23,0,0,0,0
MIL,97,CLE,116,Loss,Home,25,24,24,24,0,0,0,0,25,30,31,30,0,0,0,0
PHI,92,BOS,102,Loss,Home,21,29,22,20,0,0,0,0,24,22,23,33,0,0,0,0
